moroni 0 -0,299007194162815 1 0
2-3-2 9963 3,02702404359683 0 2
avod 9964 2,40501823122847 0 3
collaboration 9965 1,54289663007618 0 1
chefs 9966 1,23144113055032 0 1
mad-mex 9967 1,04439183950629 0 1
transporting 9968 0,000504131615396641 0 1
vehicles 9969 0,848429441102049 0 1
7/8 9970 1,54340772365379 0 1
retired 9971 5,37191952894065 0 3
2011 9972 0,869669328802111 0 2
e10134 9973 1,4498975450871 0 1
e10135 9974 1,42490258129542 0 1
define 9975 1,26784833016239 0 1
lhr-ath-lhr 9976 0,588730162423444 0 1
lhr-ath-jmk 9977 2,23612357072352 0 1
dimmed 9978 7,51290345793259 0 5
meal/trolley 9979 1,30642203619071 0 1
ath-jmk 9980 1,48888032244932 0 1
quickest 9981 2,93349320987868 0 1
grabbing 9982 2,95375267404772 0 1
hear/understand 9983 1,68142141424186 0 1
139 9984 0,924720826058053 0 1
17.50 9985 1,90230349726151 0 1
1854 9986 2,00645085652659 0 1
anaphylactic 9987 2,45183397054292 0 1
peanut/nut 9988 1,37743779750422 0 1
check-point 9989 2,96789902908164 0 1
epipen 9990 2,58009441824634 0 1
1853 9991 2,21112409658317 0 1
class/business 9992 2,84386292833083 0 1
peanut-free 9993 2,30853436571012 0 1
peanuts/nuts 9994 2,26950834932248 0 1
refrain 9995 2,18084442852104 0 1
strikes 9996 1,21858858057232 0 2
medium-haul 9997 1,31629082347094 0 1
online-check-in 9998 0,012724482506851 0 1
baggage-drop-off 9999 0,302263698727947 0 1
thessalonika 10000 1,57253355424503 0 1
40min 10001 8,52988491087681 0 1
haven 10002 1,8856752120823 0 1
12a 10003 1,89286983403977 0 2
eventful 10004 1,01865836070788 0 1
collapsing 10005 0,872672531927318 0 1
administering 10006 1,98065175557539 0 1
convert 10007 1,92250452163746 0 1
grandchildren 10008 1,9718517592977 0 2
king 10009 0,707090430477211 0 1
facilitate 10010 1,13746049429172 0 1
mxp-ath 10011 0,133534368376031 0 1
8/4/2014 10012 3,32069777209344 0 1
faultless 10013 7,40775743401971 0 6
muc-ath 10014 -0,276788582967961 0 1
calamari 10015 1,04602218579781 0 1
cwl-dub 10016 1,8128135825567 0 1
dub-cwl 10017 1,97456466042184 0 2
ei3291 10018 1,20230321902889 0 1
29/10/13 10019 1,20271472949661 0 1
8.30 10020 1,83644582272342 0 2
ei3298 10021 2,37960719875042 0 1
31/10/13 10022 1,56695408521544 0 1
engineers 10023 0,932605145747124 0 1
talkative 10024 3,46833508544058 0 2
brs-snn 10025 2,03228365240259 0 1
paris-cork 10026 0,728056558886569 0 1
ei821 10027 1,26113498842397 0 1
cork-cdg 10028 -0,119610778903407 0 1
christmas/new 10029 -0,05594182189365 0 1
out-to-get 10030 0,4492597704517 0 1
dublin-toronto 10031 1,97243936428448 0 1
smartly 10032 6,72339917017305 0 2
vegan 10033 1,01063968171861 0 1
impress 10034 0,633888480455563 0 1
121 10035 1,05899551737075 0 1
104 10036 0,547818005246957 0 1
11/11/2013 10037 1,26088285788935 0 1
ei124 10038 1,86276305651421 0 1
tenacity 10039 0,452048314992361 0 1
waist 10040 0,321651762547741 0 1
lasagne 10041 1,38394633935948 0 1
11/18/2013 10042 1,87998221720568 0 1
well-organised 10043 1,37034736255666 0 1
mco-dub 10044 0,030438522868994 0 1
10/22 10045 0,846560040929616 0 1
10/31 10046 1,49042634833158 0 1
breads 10047 1,73610557328728 0 1
dub-cdg 10048 0,985322939737385 0 1
competes 10049 1,62348615458397 0 1
xi'an 10050 3,26803087427655 0 3
harbin 10051 0,644023955913272 0 1
jfk-dub 10052 2,71398765808623 0 4
ei108 10053 1,21000977387187 0 1
pond 10054 2,16581791623766 0 2
charismatic 10055 1,59292637635624 0 1
pace 10056 1,76293076307649 0 2
in/bag-drop 10057 0,753070078256107 0 1
ei105 10058 0,424534763500343 0 1
patrick 10059 0,6863747187361 0 1
6mts 10060 1,14461597304075 0 1
440 10061 1,71951676715143 0 1
hassle-free 10062 1,04211530054087 0 1
t5 10063 2,5277936035431 0 3
unworn 10064 0,157830673436555 0 1
2010 10065 0,0650211583194422 0 1
ptv 10066 1,41013530251111 0 1
ac1906 10067 1,41005809186495 0 1
ac1919 10068 1,87386889544961 0 1
jun 10069 2,46421594138454 0 2
jovial 10070 1,49820421035318 0 1
137 10071 0,0519307321179335 0 1
man-mco 10072 0,311801591986698 0 1
mco 10073 0,350254912977226 0 1
man-snn 10074 0,181062971419218 0 1
snn-jfk 10075 1,05249947740347 0 1
dub-man 10076 1,79962498601509 0 1
sectors 10077 5,49660678673378 0 6
advantages 10078 0,202166627348478 0 1
accounting 10079 0,621775029609806 0 1
drinking 10080 1,54185733387333 0 2
effortless 10081 0,891950999010331 0 1
bos-cdg 10082 0,175812062097626 0 1
ei-134 10083 0,156903079923663 0 1
comforting 10084 1,07602735449375 0 2
logan 10085 0,205235835400054 0 1
hawaiian 10086 1,35845175239185 0 1
ac1831 10087 2,11338933073608 0 1
vibrant 10088 1,34482178783269 0 1
hawaii 10089 2,84096214582257 0 2
oversize 10090 1,09606479601751 0 1
afforded 10091 1,99474794487224 0 1
pre-clear 10092 1,23634811525063 0 1
canapés 10093 1,57638835863973 0 1
adjustable 10094 3,50743238963533 0 3
brightness 10095 1,00213501625794 0 1
bagged 10096 0,941831062660474 0 1
interact 10097 1,5521886613463 0 1
ork 10098 0,412516692100333 0 1
bhx-dub 10099 2,96541739435187 0 3
fearful 10100 1,43642475331967 0 1
overcome 10101 0,680368280308493 0 1
gusty 10102 0,462236701679526 0 1
crosswind 10103 1,92110703411564 0 1
distract 10104 0,725281968072654 0 1
982 10105 3,11610015556966 0 2
4118 10106 0,232222377337619 0 1
1426 10107 0,563732733188073 0 1
989 10108 1,12894681884392 0 1
curacao 10109 0,113318438834193 0 1
seventh 10110 1,09330139481151 0 1
minister 10111 0,166324019556085 0 1
presentable 10112 1,8509034851803 0 2
179 10113 2,10275975326205 0 1
817 10114 1,14451742956625 0 1
10.55 10115 32,452665468749 0 1
12.40 10116 33,7437051997724 0 1
misleading 10117 33,0852127153358 0 1
slackers 10118 32,851766731847 0 1
jfk-snn-jfk 10119 1,5525948469772 0 1
777-300 10120 5,80656949682467 0 4
jetstar 10121 2,39674600306747 0 1
attentiveness 10122 0,565236326384002 0 1
23-26 10123 1,43290680029099 0 1
a330-202 10124 1,36815116026818 0 1
readiness 10125 2,30345629230303 0 1
rogue 10126 2,31558265412021 0 2
infight 10127 1,13541325420859 0 1
btw 10128 5,54282263808084 0 2
300.00 10129 1,87892798049326 0 1
pp 10130 1,0106684430552 0 1
ac1825 10131 0,94743635000076 0 1
27/28 10132 0,984090048439843 0 1
enthusiasm 10133 0,336749264289043 0 1
dub-mco-dub 10134 1,1853502911913 0 1
intrusive 10135 4,66148909528809 0 3
possess 10136 1,52971432862324 0 1
qualities 10137 1,35470505927443 0 1
blowing 10138 2,53162114314345 0 1
trumpets 10139 1,65992723915723 0 1
12-14 10140 0,273013477433945 0 1
non-english 10141 0,294719026654362 0 1
shattered 10142 0,484442519342733 0 1
controls 10143 4,03150340562291 0 3
toronto-cancun 10144 1,34766073014944 0 1
ac10-11 10145 0,629740786892241 0 1
nitpicky 10146 1,3438444924745 0 1
pales 10147 1,23358837837986 0 1
liking 10148 0,53187094546476 0 1
applauded 10149 1,35476738729271 0 1
righting 10150 1,35843030971402 0 1
constraints 10151 13,6566190148967 0 1
devastating 10152 12,5004225970714 0 1
28/22 10153 13,1599220433086 0 1
comforted 10154 12,6588481433964 0 1
sillier 10155 13,5396789514179 0 1
20.00 10156 12,6151321550902 0 1
successful 10157 13,8293301070246 0 1
uplifting 10158 13,3529560794835 0 1
infrequently 10159 13,2218258814057 0 1
praised 10160 12,5005176906942 0 1
superiors 10161 13,0968093168441 0 1
understands 10162 13,5209103558776 0 1
sincerity 10163 15,5500190663384 0 2
25.1.13 10164 2,20265002707143 0 1
lhr-snn-lhr 10165 0,645865067162488 0 1
laughs 10166 0,782233980056939 0 1
servings 10167 3,51415423579242 0 2
immeasurable 10168 -0,0825905379292511 0 1
timekeeping 10169 0,883028384942109 0 1
dublin-orlando 10170 1,12295068116996 0 1
27/10/2012 10171 0,88899968601251 0 1
roomier 10172 2,05359113260805 0 2
dub-lin 10173 4,19183907545723 0 2
vrn-dub 10174 1,97958139487523 0 1
enforcing 10175 1,51185042546683 0 1
sandy 10176 15,3123036983015 0 1
obligation 10177 15,7337331919622 0 1
arann 10178 1,18524607163167 0 1
tatty 10179 -0,161589625133942 0 1
endurable 10180 0,0596118013186435 0 1
dub-bos 10181 0,0819942757403451 0 1
seasoned 10182 2,40354235046708 0 2
crab 10183 1,68805519863407 0 1
cakes 10184 1,22049769611121 0 2
barbados 10185 7,65404971575087 0 2
whent 10186 5,24701401817008 0 1
walker 10187 4,22416826441147 0 1
e-transfer 10188 4,07790138017288 0 1
dublin-malaga 10189 -0,454328468001601 0 1
malaga-dublin 10190 0,44635708026884 0 1
encouragement 10191 1,8003844168039 0 1
distress 10192 6,00174923311069 0 3
teams 10193 1,40979545694301 0 1
well-trained 10194 1,25940974366824 0 1
intuitive 10195 2,17620436920608 0 1
excepted 10196 1,47380887492272 0 1
jar 10197 1,93442369142288 0 1
1827 10198 1,1288533532195 0 1
kahului 10199 0,601795676397996 0 1
maui 10200 1,34750681428588 0 1
bhx-dub-ord 10201 0,62969028350417 0 1
southend 10202 0,316178916309112 0 1
art42 10203 0,548842559032535 0 1
armed 10204 1,73181671357333 0 1
laptops 10205 0,269430635622437 0 1
batteries 10206 0,503027731786961 0 1
intervals 10207 0,708583393464137 0 1
loos 10208 1,58034049048104 0 1
loo 10209 1,54699755997723 0 1
emphasis 10210 0,327375299310021 0 1
creation 10211 0,981399009321536 0 1
fermented 10212 1,74408385806907 0 1
black 10213 0,614545527293601 0 1
talks 10214 0,262213902763191 0 1
2k 10215 1,71852324061027 0 1
dub-mad 10216 1,4932668143852 0 1
fashioned 10217 3,33285501568245 0 3
1231 10218 -0,17047883093845 0 1
2-2 10219 1,84860040519787 0 2
footrest 10220 3,39885115330054 0 3
basket 10221 0,45806578866116 0 1
cereal 10222 1,43625290032302 0 1
sausages 10223 -0,228262063967186 0 1
tomato's 10224 -0,0633286878761503 0 1
benchmark 10225 -0,277433714772311 0 1
contains 10226 0,787250525917509 0 1
passable 10227 -0,356204324334955 0 1
marginally 10228 0,532429310927367 0 1
£5 10229 1,40337703460985 0 1
dub-mco 10230 2,03804156544527 0 1
blq-dub 10231 2,67787983253499 0 1
wickham's 10232 1,70487966141891 0 1
jfk-dub-lgw 10233 2,28345043546681 0 2
lgw 10234 0,790903579951685 0 1
ei's 10235 1,12992152824529 0 1
ac860 10236 2,06581537880274 0 1
18:15pm 10237 0,354699783983966 0 1
mannerisms 10238 0,556238508902601 0 1
mopping 10239 0,951067075389934 0 1
lgw-malaga 10240 1,15102190945811 0 1
hampered 10241 0,238430575532108 0 1
tailwinds 10242 0,743827730717057 0 1
dub-ord 10243 0,230903771021824 0 1
twelve 10244 -0,181703743469763 0 1
broad 10245 0,0649580947891614 0 1
ac1872 10246 1,65630056767552 0 1
yul-mco 10247 1,08720365664326 0 1
half-full 10248 0,747581563120513 0 1
ensured 10249 4,84088656713296 0 2
mainline 10250 11,0829376948918 0 7
moist 10251 2,24095390543386 0 1
flavourful 10252 1,80490253279214 0 1
library 10253 1,58025296739314 0 1
cinephile 10254 1,20294456780094 0 1
grainy 10255 0,789441039035768 0 1
seat-belted 10256 1,6934374055329 0 1
optimize 10257 0,844440999647808 0 1
under-seat 10258 0,912171266280194 0 1
impeding 10259 2,0092504432468 0 1
colour 10260 1,38218012311597 0 1
scheme 10261 0,759232069532961 0 1
tones 10262 2,17615409743793 0 1
vastly 10263 4,77696350951538 0 3
fears 10264 4,60895605562672 0 2
unfounded 10265 0,649495496577348 0 1
lcd 10266 3,27651939260611 0 2
panels 10267 1,06063346134528 0 1
navigation 10268 2,02364196522331 0 1
displays 10269 1,3322923923993 0 1
britain 10270 -0,14729212031108 0 1
jfk-dublin 10271 1,83856705573321 0 1
lcc 10272 0,976616494858924 0 1
dublin's 10273 1,27845411453324 0 1
phenomonal 10274 1,39757852107174 0 1
aaron 10275 3,76042060161029 0 2
poppy 10276 0,814238089236542 0 1
angel 10277 4,30534919039595 0 2
noc-lgw 10278 18,5534419715653 0 1
infirm 10279 20,4717135093974 0 1
inch 10280 9,46626587252424 0 1
compact 10281 1,00004690354692 0 1
completion 10282 2,1962141468172 0 1
scrum 10283 -0,108457178719555 0 1
unusually 10284 -0,0795605023296366 0 1
bacon 10285 1,59708767193234 0 1
baguette 10286 0,672977311663785 0 2
plea 10287 2,42462671339727 0 1
betty 10288 0,480505873626334 0 1
upsetting 10289 0,801462567738007 0 1
857 10290 -0,0635158549358676 0 1
thanked 10291 23,521374726352 0 5
merci 10292 10,6425286696956 0 1
beaucoup 10293 9,74698821764765 0 1
saskatoon 10294 17,5688872055937 0 2
din't 10295 8,19178997105536 0 1
pad 10296 0,762276503426152 0 1
14.5 10297 1,26686428527667 0 1
th 10298 1,12194778245033 0 1
whipped 10299 2,16880078975521 0 1
cheeses 10300 2,18843876774816 0 2
tikka 10301 0,895667125701749 0 1
cognac 10302 2,76356173165308 0 2
lamb 10303 1,71528919009272 0 1
chops 10304 0,988178642740556 0 1
mashed 10305 2,54437052441964 0 2
chilled 10306 2,26433744037726 0 2
molson 10307 2,12644842719959 0 1
fluffy 10308 0,782674470163265 0 1
butterscotch 10309 1,64252401387437 0 1
torte 10310 0,575202973641084 0 1
couvasier 10311 2,38808827474159 0 1
follo 10312 0,790999318655114 0 1
lavazza 10313 2,74045807427748 0 2
carries 10314 1,1429847137737 0 1
ana 10315 4,68213329854521 0 3
bravo 10316 0,963017943577384 0 1
montreal-rome 10317 2,08461128807841 0 1
recliner 10318 2,05652398502292 0 1
inconsistencies 10319 2,41186835985252 0 1
lumbar 10320 0,576518208755421 0 1
flatbed 10321 0,951892695600117 0 1
777hd 10322 0,880127607090458 0 1
220 10323 1,52217941685681 0 1
valet 10324 1,29580826074621 0 1
inquiring 10325 1,83133351841538 0 1
annette 10326 5,39603861253524 0 3
2-2-2 10327 2,72962846347579 0 2
pe 10328 5,10956724272555 0 4
seating/facilities 10329 0,605788675186126 0 1
bc 10330 1,69814409371379 0 1
reviewers 10331 3,34737384568312 0 2
can-do 10332 1,08340139155435 0 1
stand-offish 10333 0,78464093445085 0 1
non-alcoholic 10334 2,08327451515164 0 1
ac859 10335 0,170598636553902 0 1
brisbane 10336 6,53648528067231 0 4
elected 10337 2,48092500142796 0 2
gonzalo 10338 3,80336423665442 0 2
thanking 10339 1,17606901497397 0 1
daytime.flight 10340 1,63275028072891 0 1
commended 10341 5,24652896940081 0 3
flavour 10342 1,94195226260552 0 1
ingredients 10343 1,93798189104441 0 1
abandon 10344 1,32625962538936 0 1
bonuses 10345 0,948395906085333 0 1
humble 10346 10,7303752437841 0 3
laying 10347 6,20207058498732 0 1
joyce 10348 4,10400342191756 0 1
21h 10349 6,88675383254269 0 2
21k 10350 5,82877202151752 0 2
777-lr 10351 1,17766523769948 0 1
pods 10352 12,1103404775776 0 8
ac's 10353 8,01007954627745 0 6
latitude 10354 2,09228260335153 0 1
up-grade 10355 2,33654607363816 0 1
penultimate 10356 0,915539546923497 0 1
odyssey 10357 2,74138232224685 0 1
configures 10358 1,2194809561686 0 1
contort 10359 2,55684516008796 0 1
seldom 10360 2,04833199980125 0 1
patroling 10361 1,13470901564449 0 1
hiccups 10362 2,41688127984148 0 1
closely 10363 1,07688582328935 0 1
resemble 10364 0,844379948472781 0 1
cosmetic 10365 1,62782917862191 0 1
refresh 10366 2,20468691149945 0 1
warped 10367 0,90635841251647 0 1
scratched 10368 1,75718356061596 0 1
glossy 10369 1,17238609510119 0 1
seatbacks 10370 1,54564805363568 0 1
negatively 10371 0,88209299281337 0 1
impacting 10372 2,78124710357806 0 1
aesthetics 10373 1,78045499836116 0 1
functions 10374 1,5791181059457 0 1
unwieldy 10375 2,32998932876158 0 1
pacific 10376 3,90994049110913 0 2
pesto 10377 2,04214574733849 0 1
ciabatta 10378 1,29591982275989 0 1
drastically 10379 1,54741238744343 0 1
referenced 10380 2,70095843258358 0 1
viable 10381 2,19396805735024 0 1
boeng 10382 0,925625060929742 0 1
787is 10383 1,3228134414753 0 1
chief 10384 2,37701675201627 0 1
pre-paid 10385 2,02047889326721 0 2
ivy 10386 0,637033523077627 0 1
haroon 10387 2,27332196746642 0 1
pragmatic 10388 1,09235835196095 0 1
solver 10389 2,14672846237511 0 1
alan 10390 2,05505914625482 0 2
considerate 10391 4,395102952465 0 2
aesthetic 10392 0,761444052709939 0 1
beauty 10393 2,5465190810368 0 1
coupled 10394 2,02773704348492 0 1
trepidations 10395 0,798041284455937 0 1
intelligent 10396 0,929647646345965 0 1
tasks 10397 0,865066454217335 0 1
liquids 10398 1,09360195747279 0 1
middle-guy 10399 1,69843046166861 0 1
window-guy 10400 0,743709009487046 0 1
comforts 10401 1,22401671801881 0 1
pick-up 10402 0,444886979667883 0 1
cs 10403 7,93161741622333 0 1
nailed 10404 6,84110581615991 0 1
generously 10405 -0,153321032390614 0 1
vicinity 10406 0,596418152002812 0 1
mid 10407 0,129885342125728 0 1
chive 10408 -0,169038643114752 0 1
omlette 10409 -0,0377067075286558 0 1
waffles 10410 0,426605627232513 0 1
confortable 10411 1,17339381895652 0 2
toronto-puerto 10412 2,44546252928929 0 1
vallarta-toronto 10413 2,67206859852749 0 1
skewed 10414 2,8558867573067 0 1
younger 10415 2,85436397225334 0 1
stuffy 10416 2,8090839785566 0 1
regulars 10417 1,69406786220803 0 1
wrap 10418 1,79986910256551 0 2
pitfall 10419 2,62390109692882 0 1
celebrate 10420 1,49079567789603 0 1
drivers 10421 2,73136497085512 0 1
could’ve 10422 2,61400008737762 0 1
fabulous 10423 4,11045515039491 0 2
bonnie 10424 1,61732700100044 0 1
narrow-body 10425 0,750545139913701 0 1
06 10426 1,32064897288599 0 2
ac854 10427 0,534728041912768 0 1
b737-8 10428 1,55271796679716 0 1
737-9 10429 1,88107682297988 0 1
brisbane-vancouver-brisbane 10430 1,50034169880689 0 1
3yrs 10431 1,34487402646098 0 1
pre-packaged 10432 1,04854380625698 0 1
cinema 10433 1,69748937748256 0 1
bollywood 10434 0,903703394347664 0 1
canadiana 10435 1,97694173691652 0 1
franco 10436 2,2490811000341 0 1
desperation 10437 1,89400776242558 0 1
14+hrs 10438 1,38170774303456 0 1
overdue 10439 2,8303378037784 0 1
asian/middle 10440 2,52406074275452 0 1
eons 10441 2,60714819734318 0 1
quilt 10442 2,64236062846256 0 1
earbuds 10443 1,33006507737099 0 1
unhurried 10444 0,620122833652479 0 1
kudos 10445 4,08166536008085 0 1
881 10446 2,94964045297803 0 1
michigan 10447 4,88937554060918 0 2
ticket/customer 10448 4,69063238333475 0 1
9:00 10449 4,17337313083623 0 1
newborn 10450 1,48895734315224 0 1
gangway 10451 0,735579821390835 0 1
ronald 10452 0,865197393375075 0 1
reagon 10453 1,76970089481664 0 1
castlegar 10454 18,507635071365 0 3
b.c 10455 6,3123441474104 0 1
forks 10456 18,9100169182336 0 3
comox 10457 5,93443195742296 0 1
nichole 10458 6,6142904345944 0 1
couriers 10459 6,59056066879563 0 1
essence 10460 5,22603010946234 0 1
courier 10461 5,86169021141794 0 1
greyhound 10462 5,87716746920588 0 1
nephews 10463 3,64988460394083 0 1
laguardia 10464 3,06195164730863 0 2
winds 10465 0,981731643984901 0 1
ac182 10466 1,22485004399198 0 1
skiing 10467 1,14797317266836 0 1
wheeled 10468 2,16836522504146 0 1
compares 10469 1,67894504721227 0 1
favourably 10470 2,5052829154326 0 2
clean-obsession 10471 1,71507624295311 0 1
21-hour-long 10472 1,11236014599556 0 1
wraps 10473 1,26953131815862 0 1
handful 10474 2,89984038099639 0 1
sugar-and-cream 10475 1,98364751184529 0 1
baileys 10476 4,68900439603673 0 2
wisely 10477 3,8839350636508 0 2
discounts 10478 1,19033229737092 0 1
snuff 10479 0,53566167072191 0 1
846 10480 0,60090474356008 0 1
husbands 10481 2,73127351125296 0 1
lived 10482 1,24409572414313 0 1
gracious 10483 1,27934490897662 0 1
deed 10484 2,09211952006077 0 1
indianapolis 10485 0,764761892317218 0 1
toronto/montreal 10486 2,27967664500683 0 1
yyz>yul 10487 1,07884292336127 0 1
snacks/drinks 10488 2,28985457582858 0 1
transborder 10489 1,29135933187388 0 1
georgian 10490 2,16692508839393 0 1
flaw 10491 1,01464922754776 0 1
ac514 10492 1,67971740829745 0 1
slower 10493 1,1911471547052 0 1
descent 10494 3,30430779415383 0 2
guardia 10495 3,76237065203598 0 1
instituting 10496 3,8299808488367 0 1
pathway 10497 4,49247612137928 0 1
customer-centred 10498 3,66811349562747 0 1
institute 10499 3,63839126417338 0 1
reverse 10500 3,45681533993074 0 1
boringly 10501 1,60166726242829 0 1
320s 10502 0,721010270864242 0 1
hitch 10503 2,71168734655328 0 2
auto-dark 10504 0,668090215403629 0 1
memorably 10505 1,47388114043227 0 1
carts 10506 1,32321971562841 0 1
medium-range 10507 1,49566611842982 0 1
stowed 10508 2,26986054958303 0 1
cheerfully 10509 5,02398737325519 0 2
orders 10510 6,5233398094882 0 2
crew/attendants 10511 1,02608166086771 0 1
clean/modern 10512 1,24409962279913 0 1
cordial 10513 1,27862870724808 0 1
spare.to 10514 1,18965586861114 0 1
tauck 10515 0,99475656095648 0 1
unbeknownst 10516 12,417594618405 0 1
deck 10517 14,0978227166914 0 2
gagnon 10518 12,9577652388521 0 1
west/west 10519 1,49718975797165 0 1
entrée 10520 0,302055007918763 0 1
freak 10521 0,0460071340417523 0 1
substantiated 10522 0,758118610250819 0 1
new-ish 10523 0,777005906578622 0 1
rap 10524 1,11201996775904 0 1
wj 10525 1,99063368043426 0 1
787-8 10526 1,33535883912601 0 1
glassware 10527 1,22121299576071 0 1
inter-continental 10528 0,565223547846649 0 1
ac850 10529 1,13746977366389 0 1
yyc 10530 1,95366673453416 0 3
popping 10531 0,296528291048728 0 1
pressurisation 10532 0,315821584414608 0 1
eliminated 10533 1,45194107641091 0 1
civilised 10534 0,0788463903958194 0 1
conquer 10535 1,19923749901319 0 1
charlotte/usa 10536 1,61026324932941 0 1
rung 10537 1,63240840888229 0 1
charlotte 10538 1,91125469804334 0 1
newly 10539 2,81823842731222 0 3
stricter 10540 1,04154221543183 0 1
jacksonville 10541 1,48401055190899 0 1
thumbs 10542 2,40898241252125 0 2
satisfying 10543 1,76586728452978 0 2
olds 10544 2,56801962371358 0 1
canade 10545 1,64084344987797 0 1
sept-îles 10546 0,770549634550954 0 2
québec 10547 2,00108873979239 0 3
busier 10548 1,20149131887662 0 1
13a 10549 2,2095512466084 0 1
superbowl 10550 1,1447761945635 0 1
halftime 10551 1,23215831840977 0 1
copious 10552 1,33471104345969 0 1
respecting 10553 4,07092375106687 0 2
observation 10554 1,23633623986334 0 1
65 10555 1,31080818949771 0 1
kinda 10556 2,14354868645014 0 1
positioned 10557 3,24400439855829 0 1
pj's 10558 1,49966739220529 0 1
converter 10559 2,3774565752025 0 1
e-jets 10560 1,23852230279638 0 1
niagara 10561 1,20200672135782 0 1
disruption 10562 3,63044259591514 0 1
nb 10563 2,3323908087017 0 1
california 10564 6,57032070577625 0 2
ac102 10565 2,42681147671622 0 1
mix 10566 1,41026010178507 0 1
garage 10567 2,39215857023008 0 1
arthritis 10568 1,99978234367435 0 1
hill 10569 2,79041839642004 0 1
guardian 10570 2,88449334887997 0 1
columbus 10571 2,68518607392217 0 1
icing 10572 2,38656785771557 0 1
sicily 10573 2,13952670723178 0 1
blessing 10574 2,75564759171365 0 1
stationed 10575 2,51804449624291 0 1
military 10576 2,73702478261526 0 1
suites 10577 0,992251370424522 0 1
room,huge 10578 1,4089863156476 0 1
screen,massage 10579 1,77117653725258 0 1
ywg-lhr 10580 1,62008406674493 0 1
edi-ywg 10581 0,234270127645819 0 1
u.p 10582 1,41972171264688 0 1
sault 10583 1,75567233700104 0 1
ste 10584 1,39269361486318 0 1
marie 10585 2,32150842506509 0 1
finland 10586 4,16181731017391 0 2
yul-lhr-yyz-mex 10587 0,844897886991919 0 1
yul-lhr 10588 1,21560486634989 0 1
777-300er 10589 3,06803825007195 0 2
3x4x3 10590 0,65568885130607 0 1
lhr-yyz 10591 2,36625889547461 0 2
3x3x3 10592 2,13274106138048 0 2
perceive 10593 0,433798151153046 0 1
yyz-mex 10594 2,17971611855538 0 1
319 10595 2,83953552387633 0 3
csm 10596 2,25356800665779 0 1
co-ordinate 10597 1,07659163362188 0 1
no-nonsense 10598 0,595546644318638 0 1
hard-working 10599 0,941208173819449 0 1
ac761 10600 2,03058338981615 0 1
montreal-london 10601 1,67839109859354 0 1
readily 10602 0,201306413999436 0 1
showers 10603 1,01107294629844 0 1
boring 10604 1,92505795137261 0 2
yyt 10605 10,359590283064 0 5
mbj 10606 4,44559052923955 0 2
lookout 10607 1,49518438540175 0 1
2.30 10608 1,91527618319508 0 1
11.30am 10609 5,1182918240867 0 2
harboured 10610 2,87378345605628 0 1
yul-fra 10611 -0,148702688444733 0 1
lhr-yul 10612 1,33501809036127 0 2
seat/lie-flat 10613 0,728490854952713 0 1
hike 10614 1,35737250249711 0 1
ydf-yyz-pvg 10615 0,504252182601137 0 1
toronto-shanghai 10616 0,182285029572567 0 1
carrot 10617 0,674770255933874 0 1
bean 10618 1,73969719085828 0 1
iceberg 10619 0,148812234517565 0 1
lettuce 10620 1,36499419783475 0 1
nissin 10621 1,36536221181292 0 1
congee 10622 0,876553714311008 0 2
sausage 10623 1,03174410999368 0 1
melon 10624 0,934729542133738 0 1
yqb 10625 1,0182344757571 0 1
scl 10626 1,35244503936379 0 1
yvr-yul-yvr 10627 1,05276970805264 0 1
ac33 10628 -0,040189426224767 0 1
ac34 10629 1,01611206932744 0 1
19c 10630 0,264476474683954 0 1
ac835 10631 0,460433146013149 0 1
gva 10632 0,79670474696751 0 1
38d 10633 0,867778162689776 0 1
banana 10634 2,34059317127829 0 1
replenishing 10635 1,24169300242406 0 1
lattes 10636 0,732963738978358 0 1
cranked 10637 2,20864877826937 0 1
pristine 10638 0,83061441543075 0 1
ylw 10639 1,63310347485035 0 1
yyz-yow 10640 0,375917947979606 0 1
yow-yyc 10641 1,2666329188117 0 1
yyc-yyz 10642 3,42962175595091 0 2
yyz-lhr 10643 1,09731310186783 0 1
tick 10644 1,79425480295636 0 1
yyz-tlv 10645 0,204391545711267 0 1
comforter 10646 0,131240806603451 0 1
topping 10647 2,00425023026962 0 2
b787 10648 0,576425656106521 0 1
favoured 10649 1,07546394191471 0 1
innovative 10650 0,957250483872951 0 1
motivated 10651 1,6787977671152 0 2
ywg-yyz 10652 1,63689446213511 0 1
medics 10653 0,746734429172582 0 1
empathic 10654 1,87621399535621 0 1
yyz-yeg 10655 0,765221194394501 0 2
sides 10656 2,30183742153544 0 2
condensed 10657 0,869562314436567 0 1
ac865 10658 -0,423656588384722 0 1
ice-cream 10659 1,00682346220446 0 1
613 10660 -0,292854879979442 0 1
716 10661 -0,207179217556109 0 1
e-190 10662 0,635373813116631 0 2
2x4x2 10663 1,49916410790717 0 1
dash8-300 10664 5,35381537175449 0 1
electric 10665 5,81335037560824 0 1
already-checked 10666 5,85459265101449 0 1
sole 10667 -0,0327600648779236 0 1
001-002 10668 1,18789771049651 0 1
yyz-nrt 10669 1,21567953136548 0 1
b777-300 10670 0,971288476405334 0 1
herringbone 10671 1,17363628408575 0 1
layouts 10672 2,24415586136475 0 1
5-11 10673 0,506593736869559 0 1
dine 10674 2,37289431037982 0 1
35000ft 10675 0,698361302864906 0 1
launch 10676 2,13574050354573 0 1
ac851 10677 0,879240613933299 0 1
impeccably 10678 1,43748932491871 0 1
